order_id,order_date,store,sku,qty,price,unit_cost,revenue,cogs
83,2024-05-13,A,SKU017,4,28.35,26.91,113.4,107.64
84,2024-04-21,D,SKU002,4,43.74,39.32,174.96,157.28
85,2024-01-12,C,SKU008,1,20.26,35.81,20.26,35.81
86,2024-02-02,A,SKU015,2,55.73,12.26,111.46,24.52
87,2024-05-30,C,SKU008,3,20.26,35.81,60.78,107.43
88,2024-02-21,B,SKU014,2,48.82,10.7,97.64,21.4
89,2024-04-14,D,SKU011,3,50.25,16.77,150.75,50.31
90,2024-03-02,D,SKU006,1,59.94,26.67,59.94,26.67
91,2024-05-04,B,SKU004,2,9.51,22.82,19.02,45.64
92,2024-02-16,B,SKU015,2,55.73,12.26,111.46,24.52
93,2024-01-09,D,SKU012,1,30.57,19.63,30.57,19.63
94,2024-05-05,C,SKU005,4,32.88,17.03,131.52,68.12
95,2024-04-09,D,SKU012,2,30.57,19.63,61.14,39.26
96,2024-04-21,B,SKU020,4,35.26,29.66,141.04,118.64
97,2024-03-22,C,SKU016,2,36.37,26.86,72.74,53.72
98,2024-06-05,C,SKU013,3,9.29,6.58,27.869999999999997,19.740000000000002
99,2024-06-24,D,SKU011,3,50.25,16.77,150.75,50.31
100,2024-05-20,C,SKU004,3,9.51,22.82,28.53,68.46000000000001
101,2024-03-19,D,SKU012,4,30.57,19.63,122.28,78.52
102,2024-05-27,A,SKU012,4,30.57,19.63,122.28,78.52
103,2024-04-02,D,SKU014,1,48.82,10.7,48.82,10.7
104,2024-02-14,C,SKU018,2,15.42,6.14,30.84,12.28
105,2024-05-31,A,SKU019,3,22.64,13.84,67.92,41.519999999999996
106,2024-04-16,D,SKU004,2,9.51,22.82,19.02,45.64
107,2024-05-14,C,SKU017,1,28.35,26.91,28.35,26.91
108,2024-06-04,A,SKU018,4,15.42,6.14,61.68,24.56
109,2024-04-13,A,SKU009,3,50.17,28.58,150.51,85.74
110,2024-04-18,A,SKU018,4,15.42,6.14,61.68,24.56
111,2024-02-05,A,SKU020,4,35.26,29.66,141.04,118.64
112,2024-02-17,C,SKU003,4,35.86,16.0,143.44,64.0
113,2024-02-07,A,SKU007,2,16.43,35.21,32.86,70.42
114,2024-05-11,C,SKU018,3,15.42,6.14,46.26,18.419999999999998
115,2024-01-08,C,SKU009,3,50.17,28.58,150.51,85.74
116,2024-03-05,B,SKU001,1,52.13,31.49,52.13,31.49
117,2024-03-09,D,SKU008,4,20.26,35.81,81.04,143.24
118,2024-04-24,D,SKU013,3,9.29,6.58,27.869999999999997,19.740000000000002
119,2024-06-07,C,SKU006,2,59.94,26.67,119.88,53.34
120,2024-05-31,A,SKU012,2,30.57,19.63,61.14,39.26
121,2024-05-29,D,SKU017,4,28.35,26.91,113.4,107.64
122,2024-04-06,C,SKU020,2,35.26,29.66,70.52,59.32
123,2024-03-12,B,SKU015,1,55.73,12.26,55.73,12.26
124,2024-03-24,D,SKU012,3,30.57,19.63,91.71000000000001,58.89
125,2024-01-10,D,SKU013,2,9.29,6.58,18.58,13.16
126,2024-03-26,D,SKU010,4,49.05,29.35,196.2,117.4
127,2024-02-16,A,SKU007,2,16.43,35.21,32.86,70.42
128,2024-04-26,C,SKU004,4,9.51,22.82,38.04,91.28
129,2024-06-11,A,SKU014,2,48.82,10.7,97.64,21.4
130,2024-06-15,A,SKU015,4,55.73,12.26,222.92,49.04
131,2024-04-28,D,SKU015,3,55.73,12.26,167.19,36.78
132,2024-03-30,A,SKU018,1,15.42,6.14,15.42,6.14
133,2024-01-10,A,SKU016,3,36.37,26.86,109.10999999999999,80.58
134,2024-04-26,B,SKU007,2,16.43,35.21,32.86,70.42
135,2024-04-27,B,SKU010,4,49.05,29.35,196.2,117.4
136,2024-05-04,D,SKU020,3,35.26,29.66,105.78,88.98
137,2024-01-26,B,SKU016,2,36.37,26.86,72.74,53.72
138,2024-05-23,A,SKU017,1,28.35,26.91,28.35,26.91
139,2024-01-18,D,SKU007,4,16.43,35.21,65.72,140.84
140,2024-01-18,A,SKU009,3,50.17,28.58,150.51,85.74
141,2024-03-05,B,SKU015,4,55.73,12.26,222.92,49.04
142,2024-04-11,D,SKU005,1,32.88,17.03,32.88,17.03
143,2024-01-12,D,SKU011,1,50.25,16.77,50.25,16.77
144,2024-01-22,B,SKU008,2,20.26,35.81,40.52,71.62
145,2024-02-07,A,SKU017,1,28.35,26.91,28.35,26.91
146,2024-01-06,C,SKU011,2,50.25,16.77,100.5,33.54
147,2024-02-11,A,SKU001,4,52.13,31.49,208.52,125.96
148,2024-01-28,D,SKU003,3,35.86,16.0,107.58,48.0
149,2024-02-18,D,SKU005,2,32.88,17.03,65.76,34.06
150,2024-06-27,A,SKU020,2,35.26,29.66,70.52,59.32
151,2024-02-14,C,SKU020,2,35.26,29.66,70.52,59.32
152,2024-04-19,B,SKU008,1,20.26,35.81,20.26,35.81
153,2024-04-13,D,SKU019,2,22.64,13.84,45.28,27.68
154,2024-05-22,D,SKU005,1,32.88,17.03,32.88,17.03
155,2024-05-07,B,SKU001,1,52.13,31.49,52.13,31.49
156,2024-04-15,A,SKU013,4,9.29,6.58,37.16,26.32
157,2024-03-11,A,SKU020,2,35.26,29.66,70.52,59.32
158,2024-04-24,D,SKU015,1,55.73,12.26,55.73,12.26
159,2024-03-24,C,SKU012,3,30.57,19.63,91.71000000000001,58.89
160,2024-03-04,C,SKU004,3,9.51,22.82,28.53,68.46000000000001
161,2024-05-27,B,SKU019,3,22.64,13.84,67.92,41.519999999999996
162,2024-04-30,B,SKU008,3,20.26,35.81,60.78,107.43
163,2024-05-11,B,SKU019,1,22.64,13.84,22.64,13.84
164,2024-02-20,D,SKU009,1,50.17,28.58,50.17,28.58
165,2024-01-10,A,SKU013,2,9.29,6.58,18.58,13.16
166,2024-04-09,B,SKU017,2,28.35,26.91,56.7,53.82
167,2024-03-16,D,SKU013,4,9.29,6.58,37.16,26.32
168,2024-04-04,D,SKU006,4,59.94,26.67,239.76,106.68
169,2024-01-07,D,SKU007,1,16.43,35.21,16.43,35.21
170,2024-04-07,D,SKU008,4,20.26,35.81,81.04,143.24
171,2024-04-18,A,SKU005,2,32.88,17.03,65.76,34.06
172,2024-01-23,C,SKU004,1,9.51,22.82,9.51,22.82
173,2024-05-28,D,SKU010,2,49.05,29.35,98.1,58.7
174,2024-04-03,C,SKU010,4,49.05,29.35,196.2,117.4
175,2024-06-01,B,SKU008,4,20.26,35.81,81.04,143.24
176,2024-02-20,A,SKU008,2,20.26,35.81,40.52,71.62
177,2024-05-20,D,SKU006,2,59.94,26.67,119.88,53.34
178,2024-01-04,A,SKU015,3,55.73,12.26,167.19,36.78
179,2024-02-21,A,SKU017,2,28.35,26.91,56.7,53.82
180,2024-05-18,B,SKU008,1,20.26,35.81,20.26,35.81
181,2024-04-06,D,SKU012,3,30.57,19.63,91.71000000000001,58.89
182,2024-01-23,B,SKU004,3,9.51,22.82,28.53,68.46000000000001
183,2024-04-09,B,SKU008,1,20.26,35.81,20.26,35.81
184,2024-06-21,B,SKU003,3,35.86,16.0,107.58,48.0
185,2024-01-18,A,SKU011,2,50.25,16.77,100.5,33.54
186,2024-04-02,A,SKU015,2,55.73,12.26,111.46,24.52
187,2024-03-13,A,SKU007,2,16.43,35.21,32.86,70.42
188,2024-03-07,C,SKU004,2,9.51,22.82,19.02,45.64
189,2024-02-29,B,SKU015,1,55.73,12.26,55.73,12.26
190,2024-01-06,C,SKU004,3,9.51,22.82,28.53,68.46000000000001
191,2024-04-24,B,SKU013,2,9.29,6.58,18.58,13.16
192,2024-01-03,A,SKU015,2,55.73,12.26,111.46,24.52
193,2024-01-07,C,SKU008,2,20.26,35.81,40.52,71.62
194,2024-05-04,A,SKU016,2,36.37,26.86,72.74,53.72
195,2024-05-12,D,SKU018,3,15.42,6.14,46.26,18.419999999999998
196,2024-05-06,C,SKU002,3,43.74,39.32,131.22,117.96000000000001
197,2024-06-01,A,SKU014,4,48.82,10.7,195.28,42.8
198,2024-03-05,D,SKU003,4,35.86,16.0,143.44,64.0
199,2024-05-29,A,SKU017,4,28.35,26.91,113.4,107.64
200,2024-06-04,D,SKU006,3,59.94,26.67,179.82,80.01
201,2024-02-05,D,SKU012,2,30.57,19.63,61.14,39.26
202,2024-02-23,D,SKU007,2,16.43,35.21,32.86,70.42
203,2024-05-23,A,SKU005,3,32.88,17.03,98.64000000000001,51.09
204,2024-04-05,B,SKU011,4,50.25,16.77,201.0,67.08
205,2024-03-25,B,SKU016,1,36.37,26.86,36.37,26.86
206,2024-01-27,D,SKU004,2,9.51,22.82,19.02,45.64
207,2024-03-28,B,SKU016,2,36.37,26.86,72.74,53.72
208,2024-03-05,A,SKU019,2,22.64,13.84,45.28,27.68
209,2024-05-01,C,SKU019,1,22.64,13.84,22.64,13.84
210,2024-05-11,A,SKU004,2,9.51,22.82,19.02,45.64
211,2024-05-23,C,SKU002,2,43.74,39.32,87.48,78.64
212,2024-03-20,A,SKU018,2,15.42,6.14,30.84,12.28
213,2024-04-07,A,SKU009,2,50.17,28.58,100.34,57.16
214,2024-02-19,A,SKU006,4,59.94,26.67,239.76,106.68
215,2024-04-01,A,SKU002,3,43.74,39.32,131.22,117.96000000000001
216,2024-04-01,A,SKU012,1,30.57,19.63,30.57,19.63
217,2024-05-13,C,SKU019,4,22.64,13.84,90.56,55.36
218,2024-06-01,B,SKU009,4,50.17,28.58,200.68,114.32
219,2024-06-23,D,SKU015,1,55.73,12.26,55.73,12.26
220,2024-04-16,D,SKU004,4,9.51,22.82,38.04,91.28
221,2024-01-23,C,SKU009,2,50.17,28.58,100.34,57.16
222,2024-02-18,C,SKU003,4,35.86,16.0,143.44,64.0
223,2024-05-16,D,SKU012,1,30.57,19.63,30.57,19.63
224,2024-06-11,C,SKU009,4,50.17,28.58,200.68,114.32
225,2024-01-09,A,SKU018,3,15.42,6.14,46.26,18.419999999999998
226,2024-01-21,A,SKU009,2,50.17,28.58,100.34,57.16
227,2024-02-18,A,SKU014,3,48.82,10.7,146.46,32.099999999999994
228,2024-05-16,C,SKU001,3,52.13,31.49,156.39000000000001,94.47
229,2024-03-20,C,SKU005,2,32.88,17.03,65.76,34.06
230,2024-03-22,C,SKU008,2,20.26,35.81,40.52,71.62
231,2024-06-04,A,SKU014,4,48.82,10.7,195.28,42.8
232,2024-04-06,D,SKU001,3,52.13,31.49,156.39000000000001,94.47
233,2024-02-02,D,SKU017,4,28.35,26.91,113.4,107.64
234,2024-02-16,C,SKU002,3,43.74,39.32,131.22,117.96000000000001
235,2024-06-29,A,SKU014,3,48.82,10.7,146.46,32.099999999999994
236,2024-02-17,B,SKU015,1,55.73,12.26,55.73,12.26
237,2024-03-05,B,SKU009,3,50.17,28.58,150.51,85.74
238,2024-01-29,B,SKU019,3,22.64,13.84,67.92,41.519999999999996
239,2024-02-23,A,SKU009,1,50.17,28.58,50.17,28.58
240,2024-04-09,B,SKU004,3,9.51,22.82,28.53,68.46000000000001
241,2024-02-17,B,SKU007,3,16.43,35.21,49.29,105.63
242,2024-05-11,B,SKU009,3,50.17,28.58,150.51,85.74
243,2024-02-17,D,SKU001,1,52.13,31.49,52.13,31.49
244,2024-01-02,D,SKU019,2,22.64,13.84,45.28,27.68
245,2024-04-19,C,SKU004,2,9.51,22.82,19.02,45.64
246,2024-02-21,A,SKU007,1,16.43,35.21,16.43,35.21
247,2024-03-28,D,SKU010,4,49.05,29.35,196.2,117.4
248,2024-03-29,C,SKU004,3,9.51,22.82,28.53,68.46000000000001
249,2024-02-11,D,SKU016,3,36.37,26.86,109.10999999999999,80.58
250,2024-06-25,B,SKU015,4,55.73,12.26,222.92,49.04
251,2024-05-07,D,SKU002,3,43.74,39.32,131.22,117.96000000000001
252,2024-04-01,B,SKU005,3,32.88,17.03,98.64000000000001,51.09
253,2024-03-24,C,SKU012,1,30.57,19.63,30.57,19.63
254,2024-04-09,C,SKU010,4,49.05,29.35,196.2,117.4
255,2024-04-22,B,SKU012,3,30.57,19.63,91.71000000000001,58.89
256,2024-04-07,B,SKU007,4,16.43,35.21,65.72,140.84
257,2024-06-28,C,SKU020,2,35.26,29.66,70.52,59.32
258,2024-01-31,C,SKU008,1,20.26,35.81,20.26,35.81
259,2024-05-14,C,SKU019,3,22.64,13.84,67.92,41.519999999999996
260,2024-04-06,C,SKU005,4,32.88,17.03,131.52,68.12
261,2024-05-04,A,SKU008,4,20.26,35.81,81.04,143.24
262,2024-01-30,B,SKU001,2,52.13,31.49,104.26,62.98
263,2024-01-02,B,SKU014,1,48.82,10.7,48.82,10.7
264,2024-05-24,B,SKU008,3,20.26,35.81,60.78,107.43
265,2024-01-18,B,SKU014,2,48.82,10.7,97.64,21.4
266,2024-05-22,C,SKU018,4,15.42,6.14,61.68,24.56
267,2024-04-01,D,SKU006,1,59.94,26.67,59.94,26.67
268,2024-05-19,C,SKU014,1,48.82,10.7,48.82,10.7
269,2024-04-18,D,SKU010,2,49.05,29.35,98.1,58.7
270,2024-02-10,A,SKU018,1,15.42,6.14,15.42,6.14
271,2024-03-19,B,SKU007,3,16.43,35.21,49.29,105.63
272,2024-03-19,A,SKU007,2,16.43,35.21,32.86,70.42
273,2024-01-03,D,SKU004,1,9.51,22.82,9.51,22.82
274,2024-01-17,A,SKU001,3,52.13,31.49,156.39000000000001,94.47
275,2024-06-27,C,SKU013,2,9.29,6.58,18.58,13.16
276,2024-04-15,B,SKU005,4,32.88,17.03,131.52,68.12
277,2024-03-19,C,SKU001,4,52.13,31.49,208.52,125.96
278,2024-02-06,C,SKU006,4,59.94,26.67,239.76,106.68
279,2024-06-05,B,SKU017,3,28.35,26.91,85.05000000000001,80.73
280,2024-05-29,B,SKU018,3,15.42,6.14,46.26,18.419999999999998
281,2024-06-20,D,SKU015,2,55.73,12.26,111.46,24.52
282,2024-04-08,D,SKU019,3,22.64,13.84,67.92,41.519999999999996
283,2024-04-23,B,SKU005,2,32.88,17.03,65.76,34.06
284,2024-02-10,C,SKU005,4,32.88,17.03,131.52,68.12
285,2024-05-06,B,SKU013,4,9.29,6.58,37.16,26.32
286,2024-04-14,C,SKU006,2,59.94,26.67,119.88,53.34
287,2024-01-23,B,SKU007,2,16.43,35.21,32.86,70.42
288,2024-03-14,C,SKU009,3,50.17,28.58,150.51,85.74
289,2024-02-02,B,SKU018,2,15.42,6.14,30.84,12.28
290,2024-05-01,D,SKU006,3,59.94,26.67,179.82,80.01
291,2024-01-21,B,SKU019,3,22.64,13.84,67.92,41.519999999999996
292,2024-06-10,A,SKU017,1,28.35,26.91,28.35,26.91
293,2024-05-07,B,SKU014,4,48.82,10.7,195.28,42.8
294,2024-01-04,B,SKU014,2,48.82,10.7,97.64,21.4
295,2024-06-26,C,SKU005,3,32.88,17.03,98.64000000000001,51.09
296,2024-02-18,B,SKU019,1,22.64,13.84,22.64,13.84
297,2024-01-17,D,SKU002,2,43.74,39.32,87.48,78.64
298,2024-06-07,D,SKU009,2,50.17,28.58,100.34,57.16
299,2024-06-07,C,SKU018,1,15.42,6.14,15.42,6.14
300,2024-01-23,B,SKU020,3,35.26,29.66,105.78,88.98
301,2024-04-19,C,SKU002,1,43.74,39.32,43.74,39.32
302,2024-04-13,B,SKU009,1,50.17,28.58,50.17,28.58
303,2024-03-22,C,SKU002,1,43.74,39.32,43.74,39.32
304,2024-06-23,D,SKU005,1,32.88,17.03,32.88,17.03
305,2024-01-01,A,SKU020,3,35.26,29.66,105.78,88.98
306,2024-02-09,B,SKU017,1,28.35,26.91,28.35,26.91
307,2024-05-15,D,SKU005,2,32.88,17.03,65.76,34.06
308,2024-06-13,A,SKU014,4,48.82,10.7,195.28,42.8
309,2024-02-12,C,SKU013,3,9.29,6.58,27.869999999999997,19.740000000000002
310,2024-02-18,A,SKU009,1,50.17,28.58,50.17,28.58
311,2024-03-13,B,SKU019,4,22.64,13.84,90.56,55.36
312,2024-04-14,C,SKU013,1,9.29,6.58,9.29,6.58
313,2024-01-12,A,SKU005,1,32.88,17.03,32.88,17.03
314,2024-05-01,B,SKU001,2,52.13,31.49,104.26,62.98
315,2024-04-25,A,SKU005,3,32.88,17.03,98.64000000000001,51.09
316,2024-01-15,C,SKU012,2,30.57,19.63,61.14,39.26
317,2024-06-05,B,SKU015,2,55.73,12.26,111.46,24.52
318,2024-06-04,A,SKU001,4,52.13,31.49,208.52,125.96
319,2024-01-07,C,SKU011,3,50.25,16.77,150.75,50.31
320,2024-05-30,D,SKU011,1,50.25,16.77,50.25,16.77
321,2024-01-15,D,SKU003,2,35.86,16.0,71.72,32.0
322,2024-01-05,B,SKU018,1,15.42,6.14,15.42,6.14
323,2024-01-10,A,SKU018,4,15.42,6.14,61.68,24.56
324,2024-03-28,B,SKU002,2,43.74,39.32,87.48,78.64
325,2024-04-11,D,SKU020,4,35.26,29.66,141.04,118.64
326,2024-06-17,C,SKU007,4,16.43,35.21,65.72,140.84
327,2024-05-07,D,SKU004,1,9.51,22.82,9.51,22.82
328,2024-03-05,D,SKU007,2,16.43,35.21,32.86,70.42
329,2024-02-10,B,SKU001,3,52.13,31.49,156.39000000000001,94.47
330,2024-03-21,D,SKU002,3,43.74,39.32,131.22,117.96000000000001
331,2024-06-07,D,SKU007,2,16.43,35.21,32.86,70.42
332,2024-02-28,C,SKU011,2,50.25,16.77,100.5,33.54
333,2024-02-05,B,SKU015,1,55.73,12.26,55.73,12.26
334,2024-01-13,D,SKU017,4,28.35,26.91,113.4,107.64
335,2024-01-21,A,SKU009,3,50.17,28.58,150.51,85.74
336,2024-01-18,C,SKU013,1,9.29,6.58,9.29,6.58
337,2024-03-13,A,SKU013,4,9.29,6.58,37.16,26.32
338,2024-05-01,B,SKU003,3,35.86,16.0,107.58,48.0
339,2024-03-28,D,SKU018,3,15.42,6.14,46.26,18.419999999999998
340,2024-02-19,B,SKU005,4,32.88,17.03,131.52,68.12
341,2024-05-19,D,SKU017,1,28.35,26.91,28.35,26.91
342,2024-06-22,B,SKU010,4,49.05,29.35,196.2,117.4
343,2024-01-09,B,SKU010,2,49.05,29.35,98.1,58.7
344,2024-06-13,D,SKU015,3,55.73,12.26,167.19,36.78
345,2024-01-22,A,SKU009,3,50.17,28.58,150.51,85.74
346,2024-05-12,C,SKU008,2,20.26,35.81,40.52,71.62
347,2024-05-26,A,SKU018,1,15.42,6.14,15.42,6.14
348,2024-03-31,C,SKU020,4,35.26,29.66,141.04,118.64
349,2024-04-20,A,SKU002,1,43.74,39.32,43.74,39.32
350,2024-05-18,B,SKU010,3,49.05,29.35,147.14999999999998,88.05000000000001
351,2024-06-11,A,SKU004,2,9.51,22.82,19.02,45.64
352,2024-01-03,C,SKU020,4,35.26,29.66,141.04,118.64
353,2024-03-27,C,SKU018,3,15.42,6.14,46.26,18.419999999999998
354,2024-06-21,B,SKU017,4,28.35,26.91,113.4,107.64
355,2024-05-14,A,SKU004,1,9.51,22.82,9.51,22.82
356,2024-06-26,B,SKU004,3,9.51,22.82,28.53,68.46000000000001
357,2024-05-02,C,SKU006,3,59.94,26.67,179.82,80.01
358,2024-04-18,A,SKU018,1,15.42,6.14,15.42,6.14
359,2024-04-25,C,SKU018,4,15.42,6.14,61.68,24.56
360,2024-04-13,A,SKU009,4,50.17,28.58,200.68,114.32
361,2024-04-03,A,SKU013,4,9.29,6.58,37.16,26.32
362,2024-05-15,B,SKU019,1,22.64,13.84,22.64,13.84
363,2024-04-21,D,SKU018,3,15.42,6.14,46.26,18.419999999999998
364,2024-01-01,B,SKU008,3,20.26,35.81,60.78,107.43
365,2024-02-14,C,SKU020,1,35.26,29.66,35.26,29.66
366,2024-05-06,B,SKU016,1,36.37,26.86,36.37,26.86
367,2024-02-10,A,SKU019,4,22.64,13.84,90.56,55.36
368,2024-03-09,C,SKU015,1,55.73,12.26,55.73,12.26
369,2024-06-24,D,SKU004,1,9.51,22.82,9.51,22.82
370,2024-01-01,B,SKU006,4,59.94,26.67,239.76,106.68
371,2024-01-28,D,SKU009,4,50.17,28.58,200.68,114.32
372,2024-03-20,A,SKU002,4,43.74,39.32,174.96,157.28
373,2024-04-21,B,SKU010,3,49.05,29.35,147.14999999999998,88.05000000000001
374,2024-06-17,C,SKU004,2,9.51,22.82,19.02,45.64
375,2024-03-27,C,SKU013,1,9.29,6.58,9.29,6.58
376,2024-04-17,C,SKU008,2,20.26,35.81,40.52,71.62
377,2024-06-13,B,SKU006,3,59.94,26.67,179.82,80.01
378,2024-02-17,D,SKU019,1,22.64,13.84,22.64,13.84
379,2024-03-01,B,SKU011,4,50.25,16.77,201.0,67.08
380,2024-04-01,C,SKU011,1,50.25,16.77,50.25,16.77
381,2024-02-01,D,SKU001,4,52.13,31.49,208.52,125.96
382,2024-05-30,A,SKU019,1,22.64,13.84,22.64,13.84
383,2024-06-04,D,SKU014,3,48.82,10.7,146.46,32.099999999999994
384,2024-01-27,B,SKU017,4,28.35,26.91,113.4,107.64
385,2024-01-03,B,SKU017,4,28.35,26.91,113.4,107.64
386,2024-06-23,C,SKU019,1,22.64,13.84,22.64,13.84
387,2024-04-15,C,SKU003,1,35.86,16.0,35.86,16.0
388,2024-01-29,B,SKU012,1,30.57,19.63,30.57,19.63
389,2024-03-05,D,SKU012,1,30.57,19.63,30.57,19.63
390,2024-01-24,A,SKU013,3,9.29,6.58,27.869999999999997,19.740000000000002
391,2024-03-09,C,SKU006,3,59.94,26.67,179.82,80.01
392,2024-01-05,D,SKU014,1,48.82,10.7,48.82,10.7
393,2024-03-15,B,SKU015,2,55.73,12.26,111.46,24.52
394,2024-06-10,D,SKU020,4,35.26,29.66,141.04,118.64
395,2024-06-16,C,SKU007,2,16.43,35.21,32.86,70.42
396,2024-04-22,B,SKU018,4,15.42,6.14,61.68,24.56
397,2024-06-08,B,SKU010,3,49.05,29.35,147.14999999999998,88.05000000000001
398,2024-04-28,A,SKU012,3,30.57,19.63,91.71000000000001,58.89
399,2024-03-12,D,SKU008,4,20.26,35.81,81.04,143.24
400,2024-03-14,B,SKU013,2,9.29,6.58,18.58,13.16
401,2024-02-05,D,SKU011,2,50.25,16.77,100.5,33.54
